datetime,I_setpoint[A],LOAD[on/off],V[V],I_meas[A],H2_flow[ln/min]
2023-10-18 17:28:58,48.000000,0.000000,0.000000,0.000000,0.417130
2023-10-18 17:28:59,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:59,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:00,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:00,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:01,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:01,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:02,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:02,48.000000,0.000000,0.000000,0.000000,6.569876
2023-10-18 17:29:03,48.000000,0.000000,0.000000,0.000000,10.987412
2023-10-18 17:29:03,48.000000,0.000000,5.452610,0.000000,2.962886
2023-10-18 17:29:04,48.000000,0.000000,0.000000,0.000000,0.033684
2023-10-18 17:29:04,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:05,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:05,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:06,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:06,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:07,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:07,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:08,48.000000,0.000000,0.000000,0.000000,26.500834
2023-10-18 17:29:08,48.000000,0.000000,0.000000,0.000000,1.168229
2023-10-18 17:29:09,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:09,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:10,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:10,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:11,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:11,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:12,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:12,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:13,48.000000,0.000000,0.000000,0.000000,11.219043
2023-10-18 17:29:13,48.000000,0.000000,18.077600,0.000000,5.286762
2023-10-18 17:29:14,48.000000,0.000000,0.045276,0.000000,0.276811
2023-10-18 17:29:14,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:15,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:15,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:16,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:16,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:17,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:17,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:18,48.000000,0.000000,0.000000,0.000000,25.904011
2023-10-18 17:29:18,48.000000,0.000000,0.000000,0.000000,3.435073
2023-10-18 17:29:19,48.000000,0.000000,0.000000,0.000000,0.048820
2023-10-18 17:29:19,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:20,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:20,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:21,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:21,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:22,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:22,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:23,48.000000,0.000000,0.000000,0.000000,10.935391
2023-10-18 17:29:23,48.000000,0.000000,0.000000,0.000000,8.999719
2023-10-18 17:29:24,48.000000,0.000000,0.713071,0.000000,0.892003
2023-10-18 17:29:24,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:25,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:25,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:26,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:26,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:27,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:27,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:28,48.000000,0.000000,0.000000,0.000000,17.255484
2023-10-18 17:29:28,48.000000,0.000000,0.000000,0.000000,9.813417
2023-10-18 17:29:29,48.000000,0.000000,0.000000,0.000000,0.170876
2023-10-18 17:29:29,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:30,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:30,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:31,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:31,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:32,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:32,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:33,48.000000,0.000000,0.000000,0.000000,9.109550
2023-10-18 17:29:33,48.000000,0.000000,0.000000,0.000000,11.032330
2023-10-18 17:29:34,48.000000,0.000000,1.736770,0.000000,1.913885
2023-10-18 17:29:34,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:35,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:35,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:36,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:36,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:37,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:37,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:38,48.000000,0.000000,0.000000,0.000000,0.059036
2023-10-18 17:29:38,48.000000,0.000000,0.000000,0.000000,23.635662
2023-10-18 17:29:39,48.000000,0.000000,0.000000,0.000000,0.613386
2023-10-18 17:29:39,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:40,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:40,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:41,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:41,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:42,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:42,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:29:43,48.000000,0.000000,0.000000,0.000000,1.804650
2023-10-18 17:29:43,48.000000,0.000000,0.000000,0.000000,11.460485
2023-10-18 17:29:44,48.000000,0.000000,20.886400,0.000000,3.493911
2023-10-18 17:29:44,48.000000,0.000000,0.053490,0.000000,0.038876
